workerid,proliferate.condition,accept_time,acceptability,block_number,condition,confidence_time,first_response_value,itemID,item_type,meaning_confidence,paraphrase,paraphrase_time,rating,response,sentence_id,slide_start,stimulus,trial_sequence_total,wrong_attempts,error
111,condition1,9.384,0.91,practice,practice_good,8.035,,practice_good,,1,,37.366,,,,24.742,,0,0,
111,condition1,7.503,,practice,,9.533,,practice_mid,practice_mid,0.72,,3.49,,0.02,,79.533,,0,0,
111,condition1,13.078,,practice,,7.464,,practice_bad,practice_bad,0,,21.192,,0.06,,100.063,,0,0,
111,condition1,5.363,,1,head_dir,3.986,,,,0.98,The child definitely ate the chocolate cake,9.57,0.93,,head1,214.125,The child surely the chocolate cake ate.,1,,
111,condition1,5.798,,1,binding,6.803,,,,0.72,The man saw the actress greet him,11.413,0.11,,bind5,233.051,The mailman saw that the actress greeted himself.,2,,
111,condition1,6.65,,1,agreement,3.508,,,,0.95,The host invited the clown to the party.,10.879,0.78,,agr1,257.068,The clown were invited to the party by the host.,3,,
111,condition1,5.014,,1,LBC,1.981,,,,0.8,How many dogs did they see at the oarty?,10.997,0.08,,LBC4,278.109,How many did they see dogs at the park?,4,,
111,condition1,5.727,,1,NPI,2.231,,,,0.15,Unsure how to rephrase,14.653,0.19,,NPI5,296.105,The patient did anything on the hospital bed.,5,,
111,condition1,14.494,,1,adj_island,2.374,,,,0.07,Unsure,4.685,0.04,,adj5,318.72,What did the waiter set the table because the housewife praised?,6,,
111,condition1,9.672,,1,gram,2.608,,,,0.9,What actor does the brother like and sister hate?,11.122,0.8,,gram3,340.277,Which actor does the brother like and the sister hate?,7,,
111,condition1,6.126,,1,CSC,3.631,,,,0.23,Why did the boy purchase milk?,9.377,0.04,,CSC4,363.683,What did the boy purchase milk and?,8,,
111,condition1,5.012,,1,subcat,4.927,,,,0.85,The group decided on a restaurant for dinner.,10.535,0.56,,sub2,382.821,The group decided for a restaurant for dinner.,9,,
111,condition1,6.391,,1,subj_island,2.374,,,,0.06,What gift will please the resident?,10.641,0.04,,subj3,403.299,What did a gift of please the recipient?,10,,
111,condition1,4.802,,1,ungram,20.733,,,,0.68,Do activists bribe officials?,17.192,0.04,,ungram2,422.709,Do activists bribed claim officials the that the who ?,11,,
111,condition1,6.706,,2,agreement,4.172,,,,0.92,The burger was devoured quickly by the diner.,15.757,0.32,,agr3,465.44,The burger were devoured quickly by the diner.,12,,
111,condition1,8.542,,2,CSC,1.966,,,,0.01,Why does the critic dislike the actor?,9.931,0.15,,CSC2,492.078,Who does the critic dislike the actor and?,13,,
111,condition1,3.469,,2,LBC,2.197,,,,0.91,How many pills do you take a day?,10.534,0.11,,LBC2,512.521,How many do you take pills in a day?,14,,
111,condition1,4.044,,2,binding,3.268,,,,0.83,The man accepted the waitress disliked him.,10.585,0.16,,bind4,528.725,The gentleman accepted that the waitress disliked himself.,15,,
111,condition1,5.296,,2,gram,1.785,,,,0.89,The court case report mentioned the defendent's name,11.118,0.23,,gram2,546.626,The report on the court case mentioned the defendant's name.,16,,
111,condition1,3.575,,2,subj_island,1.915,,,,0.82,Why did a painting get stolen?,8.931,0.06,,subj2,564.83,What did a painting of get stolen?,17,,
111,condition1,3.414,,2,head_dir,3.189,,,,0.85,The tourist visited her favorite restuarant.,9.249,0.09,,head4,579.255,The tourist her favorite restaurant visited.,18,,
111,condition1,6.819,,2,subcat,2.093,,,,0.88,The committee agreed on the park budget.,8.761,0.94,,sub3,595.115,The committee agreed for the budget for the park.,19,,
111,condition1,6.344,,2,NPI,1.752,,,,0.81,The student liked everyone in her class.,10.161,0.38,,NPI2,612.791,The student liked anyone in her class.,20,,
111,condition1,19.801,,2,ungram,3.271,,,,0.28,Does the mechanic believe that the biofuel can have power?,19.617,0.15,,ungram1,631.053,Mechanic the that can power biofuel the does believe what ?,21,,
111,condition1,19.221,,2,adj_island,2.827,,,,0.08,Did the fugitive run away because her accomplice was caught?,14.482,0.1,,adj4,673.746,What did the fugitive run away because her accomplice recognized?,22,,
111,condition1,4.665,,3,NPI,3.803,,,,0.63,The teacher wrote everything on the writeboard,8.873,0.17,,NPI3,710.28,The teacher wrote anything on the whiteboard.,23,,
111,condition1,5.274,,3,subcat,3.27,,,,0.92,The family compromised on where to go for vacation.,9.76,0.92,,sub5,727.626,The family compromised for where to go for vacation.,24,,
111,condition1,7.625,,3,subj_island,2.107,,,,0.03,Why did the meal disgust the diner?,11.693,0.05,,subj4,745.935,What did a meal of disgust the diner?,25,,
111,condition1,4.869,,3,LBC,2.817,,,,0.71,How many books do you read in a year?,7.774,0.17,,LBC3,767.364,How many do you read books in a year?,26,,
111,condition1,3.59,,3,agreement,2.674,,,,0.82,The child was scared by the movie.,7.049,0.34,,agr4,782.828,The child were scared by the movie.,27,,
111,condition1,3.315,,3,head_dir,2.338,,,,0.91,The kitten drank all of the milk,8.809,0.19,,head2,796.146,The kitten all of the milk drank.,28,,
111,condition1,3.965,,3,binding,1.179,,,,0.84,The duchess heard that the king liked her.,8.274,0.26,,bind2,810.611,The duchess heard that the king liked herself.,29,,
111,condition1,9.098,,3,ungram,2.529,,,,0.02,The lead pianist,9.968,0.05,,ungram5,824.032,Lead pianist to what claim the does believe that can practice ?,30,,
111,condition1,11.393,,3,adj_island,2.316,,,,0.84,What lecture that the professor recommended did the student attend,13.973,0.21,,adj1,845.631,What did the student attend lecture because a professor recommended?,31,,
111,condition1,3.964,,3,CSC,1.608,,,,0.05,Why did the captain bring a map?,8.442,0.04,,CSC3,873.315,What did the captain bring a map and?,32,,
111,condition1,8.571,,3,gram,3.761,,,,0.98,The cashier didn't see anyone in the store.,15.909,0.97,,gram4,887.334,The cashier didn't see anyone at the store.,33,,
111,condition1,4.674,,4,head_dir,2.986,,,,0.96,The boy plays video games all day.,9.759,0.11,,head3,915.579,The boy video games plays every day.,34,,
111,condition1,6.257,,4,subj_island,3.685,,,,0.18,Why did the collection impress the curators?,8.788,0.06,,subj1,933.002,What did a collection of impress the curators?,35,,
111,condition1,5.68,,4,CSC,2.788,,,,0.03,Why does the women listen to the Beatles?,9.806,0.04,,CSC5,951.736,Who does the woman listen to the Beatles and?,36,,
111,condition1,3.582,,4,NPI,3.231,,,,0.85,The detective accused everyone during his investigation.,11.901,0.18,,NPI4,970.014,The detective accused anyone during his investigation.,37,,
111,condition1,4.811,,4,subcat,12.211,,,,0.88,The policemen relied on his instincts to catch the thief.,15.103,0.38,,sub1,988.732,The policeman relied for his instincts to catch the thief.,38,,
111,condition1,5.716,,4,gram,4.129,,,,0.95,The artist listens to music everyday at work.,12.118,0.91,,gram5,1020.862,The artist listens to music at work every day.,39,,
111,condition1,5.211,,4,agreement,3.337,,,,0.92,The performer was chased off the stage by the public.,11.159,0.36,,agr5,1042.828,The performer were chased off stage by the public.,40,,
111,condition1,3.768,,4,binding,2.167,,,,0.88,The bride thinks that the groom saw her.,7.523,0.27,,bind1,1062.539,The bride thinks that the groom saw herself.,41,,
111,condition1,4.772,,4,adj_island,2.576,,,,0.12,Why did the sculptor leave the room?,8.822,0.03,,adj2,1076,What did the sculptor leave the room because the assistant insulted?,42,,
111,condition1,8.69,,4,ungram,1.712,,,,0.01,Special commander initiated the spy.,10.74,0.03,,ungram3,1092.175,Special commander does spy the initiated the what believe that ?,43,,
111,condition1,3.268,,4,LBC,2.431,,,,0.89,How many cookies do you see in the jar?,10.258,0.31,,LBC1,1113.319,How many did you see cookies in the jar?,44,,
111,condition1,8.795,,5,CSC,2.334,,,,0.15,What did the farmer harvest other than corn?,10.266,0.11,,CSC1,1129.28,What did the farmer harvest corn and?,45,,
111,condition1,3.942,,5,head_dir,2.948,,,,0.8,The citizens voted on the new bill.,8.997,0.17,,head5,1150.679,The citizens the new bill voted on.,46,,
111,condition1,5.442,,5,NPI,1.672,,,,0.11,The spy saw nothing yesterday.,12.001,0.24,,NPI1,1166.57,The spy saw anything yesterday.,47,,
111,condition1,4.666,,5,binding,1.954,,,,0.82,The butler claimed that the widow reprimanded him.,10.767,0.23,,bind3,1185.689,The butler claimed that the widow reprimanded himself.,48,,
111,condition1,5.539,,5,gram,1.737,,,,0.93,The patient knew the receptionist disliked him.,9.867,0.96,,gram1,1203.08,The patient knew that the receptionist disliked him.,49,,
111,condition1,4.334,,5,LBC,2.382,,,,0.81,How many books did you fit in your locker?,9.96,0.12,,LBC5,1220.228,How many did you fit in your locker books?,50,,
111,condition1,4.813,,5,agreement,2.166,,,,0.96,"The parents reprimanded the students,",11.076,0.94,,agr2,1236.907,The student were reprimanded by the parents.,51,,
111,condition1,3.066,,5,subcat,2.269,,,,0.89,The bride insisted on the venue for her wedding.,9.98,0.21,,sub4,1254.966,The bride insisted for this venue for her wedding.,52,,
111,condition1,7.213,,5,ungram,2.747,,,,0.02,Do you believe the detective who claimed he was poisoned.,12.963,0.04,,ungram4,1270.285,Believe the does killed claim that who detective the poison ?,53,,
111,condition1,7.624,,5,subj_island,1.503,,,,0.07,What exhibit angered the citizens?,15.511,0.05,,subj5,1293.212,What did an exhibit of anger the citizens?,54,,
111,condition1,7.346,,5,adj_island,4.645,,,,0.38,Why did the chef do housework since the maid was injured?,13.779,0.13,,adj3,1317.854,What did the chef do housework because the maid injured?,55,,
100,condition1,16.177,0.6,practice,practice_good,6.916,,practice_good,,1,,32.013,,,,13.007,,0,0,
100,condition1,8.947,,practice,,5.617,,practice_mid,practice_mid,0.49,,35.966,,0.32,,68.117,,0,0,
100,condition1,63.661,,practice,,3.548,,practice_bad,practice_bad,0.22,,28.453,,0.06,,118.651,,0,0,
100,condition1,5.363,,1,agreement,3.534,,,,0.72,the public chased the performer off the stage.,10.715,0.33,,agr5,244.518,The performer were chased off stage by the public.,1,,
100,condition1,5.093,,1,NPI,2.484,,,,0.95,the student like everyone in the class.,7.831,0.52,,NPI2,264.137,The student liked anyone in her class.,2,,
100,condition1,6.015,,1,LBC,1.301,,,,0.67,how many books did you fit in your locker?,8.614,0.33,,LBC5,279.548,How many did you fit in your locker books?,3,,
100,condition1,5.747,,1,CSC,1.716,,,,0.47,did the boy purchase milk and anything else?,9.7,0.25,,CSC4,295.482,What did the boy purchase milk and?,4,,
100,condition1,5.997,,1,binding,1.984,,,,0.67,the bride thinks the groom may have seen her.,9.367,0.59,,bind1,312.648,The bride thinks that the groom saw herself.,5,,
100,condition1,10.194,,1,subj_island,4.6,,,,0.66,what was the collection that impressed the curators?,14.633,0.49,,subj1,330.001,What did a collection of impress the curators?,6,,
100,condition1,6.261,,1,gram,2.486,,,,0.97,the report of the case included the defendant’s name.,19.334,0.98,,gram2,359.433,The report on the court case mentioned the defendant's name.,7,,
100,condition1,19.644,,1,adj_island,3.283,,,,0.69,"what lecture, that was recommended by the professor, did the student attend ?",21.517,0.59,,adj1,387.517,What did the student attend lecture because a professor recommended?,8,,
100,condition1,5.548,,1,subcat,1.883,,,,0.92,the group decided on a restaurant for dinner.,12.816,0.94,,sub2,431.964,The group decided for a restaurant for dinner.,9,,
100,condition1,12.796,,1,ungram,1.549,,,,0.04,what does the mechanic do with the biofuel?,11.283,0.01,,ungram1,452.216,Mechanic the that can power biofuel the does believe what ?,10,,
100,condition1,5.362,,1,head_dir,1.75,,,,0.8,the child surely ate the chocolate cake.,10.451,0.37,,head1,477.848,The child surely the chocolate cake ate.,11,,
100,condition1,5.615,,2,agreement,3.699,,,,0.61,the student was reprimanded by the teacher.,11.066,0.64,,agr2,495.413,The student were reprimanded by the parents.,12,,
100,condition1,5.248,,2,LBC,2.6,,,,0.8,how many pills do you take in a day?,9.732,0.63,,LBC2,515.796,How many do you take pills in a day?,13,,
100,condition1,6.698,,2,gram,1.5,,,,0.76,the patient knew the receptionist did not like him.,12.333,0.72,,gram1,533.379,The patient knew that the receptionist disliked him.,14,,
100,condition1,8.865,,2,subcat,2.931,,,,0.7,the police relied on his instincts to catch the thief,19.985,0.76,,sub1,553.913,The policeman relied for his instincts to catch the thief.,15,,
100,condition1,9.014,,2,CSC,1.998,,,,0.65,who does the women like listening to?,10.451,0.4,,CSC5,585.697,Who does the woman listen to the Beatles and?,16,,
100,condition1,6.114,,2,head_dir,1.968,,,,0.62,the boy plays video games everyday.,7.114,0.53,,head3,607.165,The boy video games plays every day.,17,,
100,condition1,6.861,,2,adj_island,3.584,,,,0.61,did the chef do the housework because the maid got injured?,19.532,0.58,,adj3,622.366,What did the chef do housework because the maid injured?,18,,
100,condition1,6.879,,2,NPI,2.451,,,,0.6,the spy saw everything yesterday.,9.349,0.62,,NPI1,652.347,The spy saw anything yesterday.,19,,
100,condition1,12.197,,2,ungram,2.033,,,,0.4,what does the special commander believe the spy did?,12.567,0.07,,ungram3,671.029,Special commander does spy the initiated the what believe that ?,20,,
100,condition1,4.612,,2,subj_island,0.935,,,,0.57,what gift would please the receptionist?,9.05,0.28,,subj3,697.83,What did a gift of please the recipient?,21,,
100,condition1,15.711,,2,binding,2.368,,,,0.66,the gentleman was okay that the waitress didn't like him.,21.499,0.71,,bind4,712.432,The gentleman accepted that the waitress disliked himself.,22,,
100,condition1,5.914,,3,LBC,2.535,,,,0.67,how many dogs did they see at the park?,12.23,0.63,,LBC4,752.014,How many did they see dogs at the park?,23,,
100,condition1,6.331,,3,subj_island,2.151,,,,0.65,what a disgusting meal at dinner!,9.697,0.29,,subj4,772.697,What did a meal of disgust the diner?,24,,
100,condition1,5.045,,3,agreement,2.349,,,,0.7,the diner quickly devoured the burger.,10.552,0.75,,agr3,790.88,The burger were devoured quickly by the diner.,25,,
100,condition1,4.495,,3,NPI,1.417,,,,0.55,the patient had everything done on the hospital bed.,18.984,0.71,,NPI5,808.83,The patient did anything on the hospital bed.,26,,
100,condition1,42.145,,3,ungram,3.951,,,,0.08,who does the detective believe killed the person?,13.665,0.06,,ungram4,833.731,Believe the does killed claim that who detective the poison ?,27,,
100,condition1,175.259,,3,adj_island,3.751,,,,0.5,did the person leave the room because the assistant insulted him?,20.134,0.35,,adj2,893.496,What did the sculptor leave the room because the assistant insulted?,28,,
100,condition1,14.846,,3,head_dir,8.582,,,,0.67,the tourist visited her favorite restaurant.,18.099,0.66,,head4,1092.645,The tourist her favorite restaurant visited.,29,,
100,condition1,3.699,,3,gram,2.37,,,,0.84,everyday at work the artist listens to music.,11.315,0.82,,gram5,1134.175,The artist listens to music at work every day.,30,,
