workerid,proliferate.condition,accept_time,acceptability,block_number,condition,confidence_time,first_response_value,itemID,item_type,meaning_confidence,paraphrase,meaning_type,form_type,paraphrase_time,rating,response,sentence_id,slide_start,stimulus,trial_sequence_total,wrong_attempts,error
83,condition1,4.446,0.99,practice,practice_good,4.017,,practice_good,,0.99,,,,15.818,,,,19.972,,0,0,
83,condition1,8.355,,practice,,4.617,,practice_mid,practice_mid,0.48,,,,16.53,,0.23,,44.255,,0,0,
83,condition1,7.474,,practice,,2.754,,practice_bad,practice_bad,0,,,,29.564,,0.01,,73.759,,0,0,
83,condition1,5.72,,1,agreement,3.354,,,,0.97,the clowns were invited to the party by the host,A,Aa,6.911,0.76,,agr1,124.597,The clown were invited to the party by the host.,1,,
83,condition1,5.751,,1,subcat,2.761,,,,0.98,the bride insisted on this venue for her wedding,A,Aa,5.977,0.6,,sub4,140.586,The bride insisted for this venue for her wedding.,2,,
83,condition1,9.309,,1,LBC,2.785,,,,0.99,how many dogs did they see at the park?,A,Aa,6.87,0.38,,LBC4,155.078,How many did they see dogs at the park?,3,,
83,condition1,4.338,,1,ungram,8.186,,,,0.01,no idea,,,2.365,0.02,,ungram1,174.044,Mechanic the that can power biofuel the does believe what ?,4,,
83,condition1,5.6,,1,gram,3.244,,,,0.99,the cashier did not see anyone at the store,,,5.765,1,,gram4,188.935,The cashier didn't see anyone at the store.,5,,
83,condition1,5.238,,1,CSC,2.163,,,,0.45,did the boy purchase milk?,B,Ba,9.676,0.57,,CSC4,203.545,What did the boy purchase milk and?,6,,
83,condition1,4.463,,1,subj_island,6.487,,,,0.98,what was depicted in the painting that got stolen?,A,Aa,11.858,0.77,,subj2,220.623,What did a painting of get stolen?,7,,
83,condition1,8.347,,1,binding,2.911,,,,0.27,the king heard that the duchess liked herself,E,Ea,8.615,0.95,,bind2,243.433,The duchess heard that the king liked herself.,8,,
83,condition1,4.006,,1,head_dir,3.006,,,,0.6,the child surely ate the chocolate cake,A,Aa,6.54,0.1,,head1,263.308,The child surely the chocolate cake ate.,9,,
83,condition1,9.22,,1,adj_island,1.902,,,,0.68,what did the fugitive's accomplice recognize that made her runaway?,A,Aa,11.405,0.13,,adj4,276.861,What did the fugitive run away because her accomplice recognized?,10,,
83,condition1,4.717,,1,NPI,2.841,,,,0.29,the spy saw everything yesterday,A,Aa,6.824,0.41,,NPI1,299.39,The spy saw anything yesterday.,11,,
83,condition1,5.136,,2,subcat,2.076,,,,0.96,the family compromised on where to go for vacation,A,Aa,8.754,0.63,,sub5,313.773,The family compromised for where to go for vacation.,12,,
83,condition1,5.631,,2,adj_island,4.324,,,,0.95,did the student attend lecture because it was recommended by a professor?,B,Bk,9.166,0.11,,adj1,329.74,What did the student attend lecture because a professor recommended?,13,,
83,condition1,3.138,,2,NPI,2.17,,,,0.98,the student liked everyone in her class,A,Aa,5.847,0.34,,NPI2,348.863,The student liked anyone in her class.,14,,
83,condition1,3.692,,2,agreement,1.94,,,,0.93,the child was scared by the movie,B,Bb,4.443,0.3,,agr4,360.019,The child were scared by the movie.,15,,
83,condition1,4.859,,2,ungram,1.61,,,,0.03,no idea,,,2.162,0.01,,ungram3,370.096,Special commander does spy the initiated the what believe that ?,16,,
83,condition1,5.812,,2,head_dir,2.059,,,,0.8,the tourist visited her favorite restaurant,A,Aa,6.222,0.1,,head4,378.729,The tourist her favorite restaurant visited.,17,,
83,condition1,5.639,,2,binding,1.65,,,,0.18,the mailman saw that the actress greeted herself,B,Ba,11.205,0.07,,bind5,392.824,The mailman saw that the actress greeted himself.,18,,
